Event,nsta,MW,depth,ev_lla,ev_lon,Networks,Stations
2013.095.13.00,10,6.3,571.3,42.7359,131.064,['7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.096.04.42,11,7,69.4,-3.4714,138.4743,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.106.10.44,10,7.7,63.1,27.9704,62.136,['7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.143.17.19,10,7.4,177.7,-23.0783,-177.2133,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.242.16.25,11,7,30.2,51.5001,-175.2137,['7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['J28C', 'J39C', 'J44C', 'J46C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.244.11.52,11,6.5,135.2,-7.5393,128.2569,['7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['J28C', 'J39C', 'J44C', 'J46C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.247.00.18,13,6.5,414.4,29.9768,138.8376,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FN07C', 'J28C', 'J39C', 'J41C', 'J44C', 'J46C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.247.02.32,10,6.5,30.3,51.4813,-174.6949,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FN07C', 'J28C', 'J44C', 'J46C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.264.01.39,13,6.1,550.1,-7.2679,119.9508,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FN12C', 'J26C', 'J28C', 'J39C', 'J44C', 'J59C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.267.11.29,13,7.8,15.5,26.9109,65.5315,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9'],"['FN07C', 'FN12C', 'J26C', 'J39C', 'J41C', 'J42C', 'J46C', 'J59C', 'J61C', 'BB180', 'BB420', 'BB510', 'BB540']"
2013.268.06.51,12,6,10,-49.9853,-113.7895,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FN12C', 'J26C', 'J28C', 'J39C', 'J44C', 'J59C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB540']"
2013.268.16.42,16,7,38.2,-15.9001,-74.6012,"['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9'
 'X9' 'X9']","['FN07C', 'FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J46C', 'J59C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420', 'BB540']"
2013.271.07.34,13,6.8,18.7,27.1617,65.6192,['7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9'],"['FN12C', 'J26C', 'J28C', 'J39C', 'J41C', 'J42C', 'J44C', 'J59C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420']"
2013.273.05.55,11,6.4,37.8,-30.8752,-178.2538,['7D' '7D' '7D' '7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9'],"['FN12C', 'J26C', 'J28C', 'J39C', 'J44C', 'J59C', 'J61C', 'BB140', 'BB170', 'BB180', 'BB420']"
